2025-12-07 00:31:33 | INFO | __mp_main__ | FastAPI application instance created
2025-12-07 00:31:33 | INFO | __mp_main__ | CORS middleware configured to allow all origins
2025-12-07 00:31:33 | INFO | server | FastAPI application instance created
2025-12-07 00:31:33 | INFO | server | CORS middleware configured to allow all origins
2025-12-07 00:31:33 | INFO | server | Application lifespan startup: initializing database
2025-12-07 00:31:33 | INFO | database | Checking and creating database if not exists
2025-12-07 00:31:33 | INFO | database | Database 'pana-db' already exists
2025-12-07 00:31:33 | INFO | database | Setting up async SQLAlchemy engine and session
2025-12-07 00:31:33 | INFO | database | Connected to database 'pana-db' at localhost:5433
2025-12-07 00:31:33 | INFO | database | Ensuring all tables are created
2025-12-07 00:31:34 | INFO | database | Tables ensured/created
2025-12-07 00:31:34 | INFO | server | Application lifespan started successfully
